지역,업소명,사업자명(대표자),소재지,Latitude,Longitude,총면적(제곱미터),홀수(홀),세부종류
경북,칠곡아이위시C.C,㈜동화레져 문종혁,칠곡군 기산면 노석1길 49-112,35.9442473,128.3734909,375039,9,대중제
경북,한맥C.C&노블리아,한맥개발㈜ 임기주,예천군 호명면 한맥 골프장길 72,36.6596112,128.5177476,1000226,18,대중제
경북,원남골프장,울진군수,울진군 매화면 오산리 산26,36.8881167,129.398151,1221145,18,대중제
경남,창원컨트리클럽,㈜창원컨트리클럽 송부욱,창원시 의창구 대봉로 137,35.2617974,128.6674876,1048959,18,회원제
경남,용원컨트리클럽,용원개발㈜최정호,창원시 진해구 가주로 133,35.1108203,128.8230513,1635886,27,회원제
경남,아라미르골프앤리조트,용원개발㈜최정호,창원시 진해구 수제로 36,35.094925,128.7425452,1406363,36,대중제
경남,진주컨트리클럽,진주개발㈜김영재,진주시 진성면 진성로 464번길 82,35.1721801,128.2320221,1068481,18,대중제
경남,통영동원로얄컨트리클럽,동원관광개발㈜이만수,통영시 산양읍 담안길 240,34.8117123,128.4277298,983676,18,대중제
경남,서경타니CC,타니골프엔리조트㈜ 윤철지,사천시 곤양면 흥신로 210,35.099324,128.0208637,1221929,27,대중제
경남,서경타니CC,타니골프엔리조트㈜ 윤철지,사천시 곤양면 흥신로 210,35.099324,128.0208637,437325,9,대중제
경남,삼삼컨트리클럽,삼삼레져개발㈜박 명식,사천시 축동면 화당산로 224,35.1076038,128.0508709,391178,9,대중제
경남,골프존카운티 사천,㈜한올강성일,사천시 서포면 구송로 151,35.0105857,127.9527107,1510534,27,대중제
경남,가야컨트리클럽,가야개발㈜김영섭,김해시 인제로 495,35.2710699,128.8903044,2822471,45,회원제
경남,가야컨트리클럽,가야개발㈜김영섭,김해시 인제로 495,35.2710699,128.8903044,164773,9,대중제
경남,김해정산컨트리클럽,정산개발㈜이순영,김해시 주촌면 서부로 1637번길 299-194,35.256409,128.8075044,1563744,27,회원제
경남,롯데스카이힐김해컨트리클럽,㈜롯데산업,김해시 진례면 고모로 134번길 54-49,35.2325705,128.7848791,1030540,18,회원제
경남,김해상록컨트리클럽,공무원연금공단김해상록골프장 박노종,김해시 한림면 김해대로 974번길 198,35.2737546,128.7980822,963482,18,대중제
경남,리더스컨트리클럽,㈜리더스컨트리클럽이삼영,밀양시 활성로 455,35.4741479,128.8130742,1405663,27,대중제
